generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
27,5.546595788031481,4.026744864108753,144.36755660099462,193.88124877893213,144.36755660099462,193.88124877893213,76284.90612055325,23
28,5.546595788031481,3.897672509169892,144.36755660099462,190.14911221027563,144.36755660099462,190.14911221027563,76704.55899622434,24
29,5.546595788031481,3.7539037422769925,144.36755660099462,184.88767328833316,144.36755660099462,184.88767328833316,77376.37964873253,28
30,5.546595788031481,3.4903890255245935,144.36755660099462,174.71632929835764,144.36755660099462,174.71632929835764,77914.39394366097,26
31,5.546595788031481,4.347779819650716,140.25653273739766,186.7871946301551,140.25653273739766,186.7871946301551,83194.10334446283,21
32,5.546595788031481,4.405948060534883,140.25653273739766,188.42134293004548,140.25653273739766,188.42134293004548,83273.96200131603,24
33,5.546595788031481,4.567534307310462,140.25653273739766,187.52524829101318,140.25653273739766,187.52524829101318,83273.96200131603,30
34,5.546595788031481,4.5517679743495725,140.25653273739766,186.0884155185105,140.25653273739766,186.0884155185105,83273.96200131603,30
35,5.546595788031481,4.702701821676183,140.25653273739766,189.36747030197455,140.25653273739766,189.36747030197455,84306.456592229,27
36,5.546595788031481,4.638560572296817,140.25653273739766,184.7656683943695,140.25653273739766,184.7656683943695,84319.40298463483,30
37,5.546595788031481,4.62777977728398,140.25653273739766,183.72132420082775,140.25653273739766,183.72132420082775,84319.40298463483,30
38,5.546595788031481,4.6518556672475775,140.25653273739766,184.91739244621087,140.25653273739766,184.91739244621087,84319.40298463483,30
39,5.546595788031481,4.627794609756395,140.25653273739766,183.57614797082158,140.25653273739766,183.57614797082158,84319.40298463483,30
40,5.546595788031481,4.585766344885195,140.25653273739766,182.00231276040347,140.25653273739766,182.00231276040347,84333.48687775995,30
41,5.546595788031481,4.540881846387526,140.25653273739766,180.29833963623648,140.25653273739766,180.29833963623648,84464.82928673798,30
42,5.546595788031481,4.542004991023052,140.25653273739766,181.88915809621116,140.25653273739766,181.88915809621116,84994.34613775263,28
43,5.546595788031481,4.550537743038707,140.25653273739766,179.65510640027478,140.25653273739766,179.65510640027478,85030.2232110238,30
44,5.546595788031481,4.521296896036285,140.25653273739766,178.42057447477524,140.25653273739766,178.42057447477524,85030.2232110238,30
45,5.546595788031481,4.549221137044035,140.25653273739766,180.8673878671524,140.25653273739766,180.8673878671524,85030.2232110238,30
46,5.546595788031481,4.509888344927659,140.25653273739766,178.86218622521756,140.25653273739766,178.86218622521756,85030.2232110238,30
47,5.546595788031481,4.545281591914166,140.25653273739766,180.35341926323534,140.25653273739766,180.35341926323534,85045.13035370503,30
48,5.546595788031481,4.517119323421057,140.25653273739766,178.79414604458256,140.25653273739766,178.79414604458256,85055.5773313547,30
49,5.546595788031481,4.49044996839358,140.25653273739766,177.2920619787551,140.25653273739766,177.2920619787551,85148.26534753498,30
50,5.546595788031481,4.5021570540269185,140.25653273739766,177.41097699310725,140.25653273739766,177.41097699310725,85148.26534753498,30
