generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
19,5.5865221619261565,4.082784942372016,165.24748820281553,178.54265979323444,165.24748820281553,178.54265979323444,59156.66204240988,30
20,5.5865221619261565,3.992929264512789,159.25889814555185,178.17035242613863,159.25889814555185,178.17035242613863,62553.83402050588,30
21,5.5865221619261565,3.9905439517601096,159.25889814555185,181.6429893036234,159.25889814555185,181.6429893036234,62617.54496128435,30
22,5.5865221619261565,4.000544803528428,159.25889814555185,182.35947040289815,159.25889814555185,182.35947040289815,63039.93741293325,30
23,5.5865221619261565,4.127186577069025,159.25889814555185,183.73165925511228,159.25889814555185,183.73165925511228,63039.93741293325,30
24,5.5865221619261565,4.1531417425013455,159.25889814555185,185.9111762734957,159.25889814555185,185.9111762734957,63039.93741293325,30
25,5.5865221619261565,4.059824696328548,159.25889814555185,183.9836993761764,159.25889814555185,183.9836993761764,63039.93741293325,30
26,5.5865221619261565,3.9702970623366767,159.25889814555185,182.2460298699423,159.25889814555185,182.2460298699423,63194.26064595549,30
27,5.5865221619261565,3.9458062068127924,159.25889814555185,181.96435944567654,159.25889814555185,181.96435944567654,63194.26064595549,30
28,5.5865221619261565,3.99280993721891,159.25889814555185,181.83198368597297,159.25889814555185,181.83198368597297,63194.26064595549,30
29,5.5865221619261565,4.194009109337328,159.25889814555185,186.19211166740843,159.25889814555185,186.19211166740843,63194.26064595549,30
30,5.5865221619261565,4.03351612912943,159.25889814555185,182.63180826924426,159.25889814555185,182.63180826924426,63194.26064595549,30
31,5.5865221619261565,4.122994893391108,159.25889814555185,183.6583093579376,159.25889814555185,183.6583093579376,63194.26064595549,30
32,5.5865221619261565,4.307586257773858,159.25889814555185,187.21935471759576,159.25889814555185,187.21935471759576,64420.36473637044,24
33,5.5865221619261565,4.273012725766223,159.25889814555185,187.0916538739911,159.25889814555185,187.0916538739911,64570.23138789849,28
34,5.5865221619261565,4.204869291523206,159.25889814555185,187.09351394430144,159.25889814555185,187.09351394430144,64841.32601370731,25
35,5.5865221619261565,4.033918690855115,159.25889814555185,184.5635511805033,159.25889814555185,184.5635511805033,64841.32601370731,30
36,5.5865221619261565,4.191901420064789,159.25889814555185,187.04651366966658,159.25889814555185,187.04651366966658,65000.35394243165,30
37,5.5865221619261565,4.114369587909586,159.25889814555185,185.14623388374105,159.25889814555185,185.14623388374105,65000.35394243165,30
38,5.5865221619261565,4.118537753755164,159.25889814555185,179.9926649683989,159.25889814555185,179.9926649683989,65196.258509734704,30
39,5.5865221619261565,4.138876826326039,159.25889814555185,180.40836266638095,159.25889814555185,180.40836266638095,65196.258509734704,30
