generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
102,5.133445821714025,4.010851358245423,139.21274880948494,159.4008044277325,139.21274880948494,159.4008044277325,91284.83922655809,48
103,5.133445821714025,4.005608060362571,139.21274880948494,159.9482285032887,139.21274880948494,159.9482285032887,91284.83922655809,48
104,5.133445821714025,4.041922193764398,139.21274880948494,161.29119096099092,139.21274880948494,161.29119096099092,91335.47930942736,48
105,5.133445821714025,4.07014895831806,139.21274880948494,160.35771699974688,139.21274880948494,160.35771699974688,91335.47930942736,48
106,5.133445821714025,4.074875075177647,139.21274880948494,160.0656772985914,139.21274880948494,160.0656772985914,91390.15234685077,48
107,5.133445821714025,4.070757582252072,139.21274880948494,160.27661762872103,139.21274880948494,160.27661762872103,91390.15234685077,49
108,5.133445821714025,4.069390083591931,139.21274880948494,160.05912081024346,139.21274880948494,160.05912081024346,91390.15234685077,49
109,5.133445821714025,4.041080712693899,139.21274880948494,158.4323806107596,139.21274880948494,158.4323806107596,91390.15234685077,49
110,5.133445821714025,4.011183376270923,139.21274880948494,157.81963446282325,139.21274880948494,157.81963446282325,91390.15234685077,49
111,5.133445821714025,4.009271698645777,139.21274880948494,158.05943582654376,139.21274880948494,158.05943582654376,91390.15234685077,49
112,5.133445821714025,4.018460685974371,139.21274880948494,158.31462622373004,139.21274880948494,158.31462622373004,91390.15234685077,49
113,5.133445821714025,4.031897955565159,139.21274880948494,157.30092205943507,139.21274880948494,157.30092205943507,91390.15234685077,49
114,5.133445821714025,4.033601564091017,139.21274880948494,157.5689880911581,139.21274880948494,157.5689880911581,91390.15234685077,49
115,5.133445821714025,4.0442350857137495,139.21274880948494,158.8584398361975,139.21274880948494,158.8584398361975,91390.15234685077,49
116,5.133445821714025,4.033145134140767,139.21274880948494,158.78328660802438,139.21274880948494,158.78328660802438,91390.15234685077,49
117,5.133445821714025,4.044560500867947,139.21274880948494,159.61992192306403,139.21274880948494,159.61992192306403,91390.15234685077,49
118,5.133445821714025,4.057989573139854,139.21274880948494,159.88727863901727,139.21274880948494,159.88727863901727,91390.15234685077,49
119,5.133445821714025,4.052263059617693,139.21274880948494,160.67455685240006,139.21274880948494,160.67455685240006,91390.15234685077,49
120,5.133445821714025,4.043614677149663,139.21274880948494,160.651381940156,139.21274880948494,160.651381940156,91390.15234685077,49
121,5.133445821714025,4.06817394746041,139.21274880948494,161.04163092915044,139.21274880948494,161.04163092915044,91390.51837519396,49
122,5.133445821714025,4.058220510724953,139.21274880948494,160.305570758662,139.21274880948494,160.305570758662,91390.51837519396,49
123,5.133445821714025,4.015244855345002,139.21274880948494,159.25335458418948,139.21274880948494,159.25335458418948,91390.51837519396,49
124,5.133445821714025,4.02292076914525,139.21274880948494,159.53517810853123,139.21274880948494,159.53517810853123,91390.51837519396,49
125,5.133445821714025,4.035305976884276,139.21274880948494,160.11405655797495,139.21274880948494,160.11405655797495,91390.51837519396,49
126,5.133445821714025,4.040868699250552,139.21274880948494,160.59296252866122,139.21274880948494,160.59296252866122,91516.89639179666,49
127,5.133445821714025,4.023351879419831,139.21274880948494,160.14442718682062,139.21274880948494,160.14442718682062,91516.89639179666,49
128,5.133445821714025,4.024617791144444,139.21274880948494,159.97710867180442,139.21274880948494,159.97710867180442,91516.89639179666,49
129,5.133445821714025,4.028568331680188,139.21274880948494,159.8765588990524,139.21274880948494,159.8765588990524,91516.89639179666,49
130,5.133445821714025,4.017340032262644,139.21274880948494,159.90968469263785,139.21274880948494,159.90968469263785,91516.89639179666,49
131,5.133445821714025,4.017414056387644,139.21274880948494,160.45991210227788,139.21274880948494,160.45991210227788,91516.89639179666,49
132,5.133445821714025,4.018110863622145,139.21274880948494,160.49430445315423,139.21274880948494,160.49430445315423,91516.89639179666,49
133,5.133445821714025,4.026873919378786,139.21274880948494,159.65154881476084,139.21274880948494,159.65154881476084,91516.89639179666,49
134,5.133445821714025,4.022463990270482,139.21274880948494,159.12163572180128,139.21274880948494,159.12163572180128,91516.89639179666,49
135,5.133445821714025,4.018805501466689,139.21274880948494,159.88130766652935,139.21274880948494,159.88130766652935,91516.89639179666,49
136,5.133445821714025,4.017420060134383,139.21274880948494,158.6445267082559,139.21274880948494,158.6445267082559,91516.89639179666,49
137,5.133445821714025,4.017140272160024,139.21274880948494,158.59195132386793,139.21274880948494,158.59195132386793,91520.36100729542,49
138,5.133445821714025,4.011655794432661,139.21274880948494,158.74498722835534,139.21274880948494,158.74498722835534,91520.36100729542,49
139,5.133445821714025,4.013476686786594,139.21274880948494,158.9066943099646,139.21274880948494,158.9066943099646,91520.36100729542,49
140,5.133445821714025,4.024065637376936,139.21274880948494,158.08539786930632,139.21274880948494,158.08539786930632,91520.36100729542,49
