tick,generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
0,119,6.162361222043234,5.9314890615651645,126.2261147826685,178.56421040742848,126.2261147826685,178.56421040742848,132055.34585096408,60
0,120,6.162361222043234,5.9206191873832354,126.2261147826685,179.2716899673912,126.2261147826685,179.2716899673912,132055.34585096408,60
0,121,6.162361222043234,5.940469690224595,126.2261147826685,178.78176619113842,126.2261147826685,178.78176619113842,132055.34585096408,60
0,122,6.162361222043234,5.94070869629317,126.2261147826685,179.59506431254928,126.2261147826685,179.59506431254928,132055.34585096408,60
0,123,6.162361222043234,5.928877602915926,126.2261147826685,176.5683056018364,126.2261147826685,176.5683056018364,132055.34585096408,60
0,124,6.162361222043234,5.934095325293393,126.2261147826685,180.07906942798834,126.2261147826685,180.07906942798834,132055.34585096408,60
0,125,6.162361222043234,5.955140858477624,126.2261147826685,183.65563625878985,126.2261147826685,183.65563625878985,132055.34585096408,60
0,126,6.162361222043234,5.959402556580789,126.2261147826685,183.91320759929835,126.2261147826685,183.91320759929835,132055.34585096408,60
0,127,6.162361222043234,5.951833161306713,126.2261147826685,181.144020229094,126.2261147826685,181.144020229094,132055.34585096408,60
0,128,6.162361222043234,5.946859639918835,126.2261147826685,178.9276003093851,126.2261147826685,178.9276003093851,132055.34585096408,60
0,129,6.162361222043234,5.958451727227503,126.2261147826685,181.1410608986871,126.2261147826685,181.1410608986871,132055.34585096408,60
0,130,6.162361222043234,5.952311173443862,126.2261147826685,182.77061647191567,126.2261147826685,182.77061647191567,132055.34585096408,60
0,131,6.162361222043234,5.950188116773798,126.2261147826685,183.36339947920976,126.2261147826685,183.36339947920976,132055.34585096408,60
0,132,6.162361222043234,5.938601224386144,126.2261147826685,181.63098467493992,126.2261147826685,181.63098467493992,132055.34585096408,60
0,133,6.162361222043234,5.896738774244224,126.2261147826685,174.32905756468338,126.2261147826685,174.32905756468338,132055.34585096408,60
0,134,6.162361222043234,5.879939354400118,126.2261147826685,169.56692471929375,126.2261147826685,169.56692471929375,132055.34585096408,60
0,135,6.162361222043234,5.88774775574277,126.2261147826685,173.14941021090905,126.2261147826685,173.14941021090905,132055.34585096408,60
0,136,6.162361222043234,5.865735808442212,126.2261147826685,165.35755932439966,126.2261147826685,165.35755932439966,132055.34585096408,60
0,137,6.162361222043234,5.862417721429271,126.2261147826685,161.88385172463944,126.2261147826685,161.88385172463944,132055.34585096408,60
0,138,6.162361222043234,5.856277167645633,126.2261147826685,163.51340729786799,126.2261147826685,163.51340729786799,132055.34585096408,60
0,139,6.162361222043234,5.854148916054555,126.2261147826685,163.62514452012982,126.2261147826685,163.62514452012982,132055.34585096408,60
0,140,6.162361222043234,5.846818526849051,126.2261147826685,161.66925527133634,126.2261147826685,161.66925527133634,132055.34585096408,60
0,141,6.162361222043234,5.8541541109755695,126.2261147826685,164.10619030516202,126.2261147826685,164.10619030516202,132055.34585096408,60
0,142,6.162361222043234,5.865980009431798,126.2261147826685,166.65190323084275,126.2261147826685,166.65190323084275,132055.34585096408,60
0,143,6.162361222043234,5.872354374363002,126.2261147826685,165.35459999399282,126.2261147826685,165.35459999399282,132055.34585096408,60
0,144,6.162361222043234,5.862895733566423,126.2261147826685,163.51044796746115,126.2261147826685,163.51044796746115,132055.34585096408,60
0,145,6.162361222043234,5.888436776001384,126.2261147826685,167.6768384751498,126.2261147826685,167.6768384751498,132055.34585096408,60
0,146,6.162361222043234,5.891287240719198,126.2261147826685,170.48604140215275,126.2261147826685,170.48604140215275,132055.34585096408,60
0,147,6.162361222043234,5.872125758136451,126.2261147826685,165.50339344264634,126.2261147826685,165.50339344264634,132055.34585096408,60
0,148,6.162361222043234,5.88512907883047,126.2261147826685,165.1652224454539,126.2261147826685,165.1652224454539,132055.34585096408,60
0,149,6.162361222043234,5.873058979384652,126.2261147826685,161.3251656133302,126.2261147826685,161.3251656133302,132055.34585096408,60
0,150,6.162361222043234,5.889375192170599,126.2261147826685,163.97965643086584,126.2261147826685,163.97965643086584,132055.34585096408,60
0,151,6.162361222043234,5.878744324057242,126.2261147826685,165.50043411223947,126.2261147826685,165.50043411223947,132055.34585096408,60
0,152,6.162361222043234,5.875421042123293,126.2261147826685,161.54568072744695,126.2261147826685,161.54568072744695,132055.34585096408,60
0,153,6.162361222043234,5.881800601975509,126.2261147826685,160.72942327562927,126.2261147826685,160.72942327562927,132055.34585096408,60
0,154,6.162361222043234,5.898361015751039,126.2261147826685,164.67825799960798,126.2261147826685,164.67825799960798,132055.34585096408,60
0,155,6.162361222043234,5.894104512568887,126.2261147826685,164.90173244413168,126.2261147826685,164.90173244413168,132055.34585096408,60
0,156,6.162361222043234,5.899067644114739,126.2261147826685,166.1560607937762,126.2261147826685,166.1560607937762,132055.34585096408,60
